image_name,slide,sample_id,staining
22-082_10X_NADH_2-Scene-23-TAG23,3,TAG23,NADH
22-082_10X_NADH_2-Scene-24-TAG24,3,TAG24,NADH
22-082_10X_NADH_2-Scene-25-TAG25,3,TAG25,NADH
22-082_10X_NADH_3-Scene-26-TAG26,3,TAG26,NADH
22-082_10X_NADH_3-Scene-27-TAG27,3,TAG27,NADH
22-082_10X_NADH_3-Scene-28-TAG28,3,TAG28,NADH
22-082_10X_NADH_3-Scene-29-TAG29,3,TAG29,NADH
22-082_10X_NADH_4-Scene-31-TAG31,3,TAG31,NADH
22-082_10X_NADH_4-Scene-32-TAG32,3,TAG32,NADH
22-082_10X_NADH_4-Scene-33-TAG33,3,TAG33,NADH
22-082_10X_NADH_4-Scene-34-TAG34,3,TAG34,NADH
22-082_10X_NADH_4-Scene-35-TAG35,3,TAG35,NADH
22-082_10X_HE_10x_1-Scene-1-TAG01,6,TAG01,HE_10x
22-082_10X_HE_10x_1-Scene-2-TAG02,6,TAG02,HE_10x
22-082_10X_HE_10x_1-Scene-3-TAG03,6,TAG03,HE_10x
22-082_10X_HE_10x_1-Scene-4-TAG04,6,TAG04,HE_10x
22-082_10X_HE_10x_1-Scene-5-TAG05,6,TAG05,HE_10x
22-082_10X_HE_10x_2-Scene-21-TAG21,6,TAG21,HE_10x
22-082_10X_HE_10x_2-Scene-22-TAG22,6,TAG22,HE_10x
22-082_10X_HE_10x_2-Scene-23-TAG23,6,TAG23,HE_10x
22-082_10X_HE_10x_2-Scene-24-TAG24,6,TAG24,HE_10x
22-082_10X_HE_10x_2-Scene-25-TAG25,6,TAG25,HE_10x
22-082_10X_HE_10x_3-Scene-26-TAG26,6,TAG26,HE_10x
22-082_10X_HE_10x_3-Scene-27-TAG27,6,TAG27,HE_10x
22-082_10X_HE_10x_3-Scene-28-TAG28,6,TAG28,HE_10x
22-082_10X_HE_10x_3-Scene-29-TAG29,6,TAG29,HE_10x
22-082_10X_HE_10x_4-Scene-31-TAG31,6,TAG31,HE_10x
22-082_10X_HE_10x_4-Scene-32-TAG32,6,TAG32,HE_10x
22-082_10X_HE_10x_4-Scene-33-TAG33,6,TAG33,HE_10x
22-082_10X_HE_10x_4-Scene-34-TAG34,6,TAG34,HE_10x
22-082_10X_HE_10x_4-Scene-35-TAG35,6,TAG35,HE_10x
22-082_10X_COX_1-Scene-1-TAG01,7,TAG01,COX
22-082_10X_COX_1-Scene-2-TAG02,7,TAG02,COX
22-082_10X_COX_1-Scene-3-TAG03,7,TAG03,COX
22-082_10X_COX_1-Scene-4-TAG04,7,TAG04,COX
22-082_10X_COX_1-Scene-5-TAG05,7,TAG05,COX
22-082_10X_COX_2-Scene-21-TAG21,7,TAG21,COX
22-082_10X_COX_2-Scene-22-TAG22,7,TAG22,COX
22-082_10X_COX_2-Scene-23-TAG23,7,TAG23,COX
22-082_10X_COX_2-Scene-24-TAG24,7,TAG24,COX
22-082_10X_COX_2-Scene-25-TAG25,7,TAG25,COX
22-082_10X_COX_3-Scene-26-TAG26,7,TAG26,COX
22-082_10X_COX_3-Scene-27-TAG27,7,TAG27,COX
22-082_10X_COX_3-Scene-28-TAG28,7,TAG28,COX
22-082_10X_COX_3-Scene-29-TAG29,7,TAG29,COX
22-082_10X_COX_4-Scene-31-TAG31,7,TAG31,COX
22-082_10X_COX_4-Scene-32-TAG32,7,TAG32,COX
22-082_10X_COX_4-Scene-33-TAG33,7,TAG33,COX
22-082_10X_COX_4-Scene-34-TAG34,7,TAG34,COX
22-082_10X_COX_4-Scene-35-TAG35,7,TAG35,COX
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-1-TAG01,8,TAG01,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-1-TAG01,8,TAG01,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-1-TAG01,8,TAG01,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-2-TAG02,8,TAG02,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-2-TAG02,8,TAG02,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-2-TAG02,8,TAG02,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-3-TAG03,8,TAG03,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-3-TAG03,8,TAG03,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-3-TAG03,8,TAG03,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-4-TAG04,8,TAG04,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-4-TAG04,8,TAG04,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-4-TAG04,8,TAG04,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-5-TAG05,8,TAG05,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-5-TAG05,8,TAG05,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_1-Scene-5-TAG05,8,TAG05,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-21-TAG21,8,TAG21,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-21-TAG21,8,TAG21,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-21-TAG21,8,TAG21,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-22-TAG22,8,TAG22,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-22-TAG22,8,TAG22,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-22-TAG22,8,TAG22,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-23-TAG23,8,TAG23,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-23-TAG23,8,TAG23,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-23-TAG23,8,TAG23,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-24-TAG24,8,TAG24,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-24-TAG24,8,TAG24,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-24-TAG24,8,TAG24,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-25-TAG25,8,TAG25,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-25-TAG25,8,TAG25,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_2-Scene-25-TAG25,8,TAG25,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_3-Scene-26-TAG26,8,TAG26,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_3-Scene-26-TAG26,8,TAG26,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_3-Scene-26-TAG26,8,TAG26,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_3-Scene-27-TAG27,8,TAG27,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_3-Scene-27-TAG27,8,TAG27,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_3-Scene-27-TAG27,8,TAG27,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_3-Scene-28-TAG28,8,TAG28,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_3-Scene-28-TAG28,8,TAG28,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_3-Scene-28-TAG28,8,TAG28,SQSTM1
22-082_10X_LAMP2_LGALS3_SQSTM1_3-Scene-29-TAG29,8,TAG29,LAMP2
22-082_10X_LAMP2_LGALS3_SQSTM1_3-Scene-29-TAG29,8,TAG29,LGALS3
22-082_10X_LAMP2_LGALS3_SQSTM1_3-Scene-29-TAG29,8,TAG29,SQSTM1
